epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2242.09,0.63902,0.48407,1.0349,0.97687,0.97887,0.99144,0.87083,0.52533,0.31298,0.95813,0.0005941,0.0005941,0.0005941
43,2295.47,0.64126,0.48361,1.03918,0.98169,0.972,0.99177,0.88142,0.49648,0.30872,0.94856,0.0005842,0.0005842,0.0005842
44,2348.64,0.63528,0.46771,1.03214,0.98085,0.97001,0.99244,0.8851,0.48309,0.30258,0.93777,0.0005743,0.0005743,0.0005743
45,2401.05,0.62393,0.45105,1.02884,0.98069,0.98191,0.99233,0.87665,0.51496,0.30159,0.94814,0.0005644,0.0005644,0.0005644
46,2452.81,0.62339,0.45353,1.02721,0.98017,0.97821,0.99092,0.88537,0.47673,0.29936,0.9339,0.0005545,0.0005545,0.0005545
47,2504.79,0.61878,0.44769,1.0254,0.97875,0.97707,0.99206,0.88372,0.49603,0.29642,0.94209,0.0005446,0.0005446,0.0005446
48,2557.42,0.61823,0.44441,1.02514,0.97719,0.98517,0.99265,0.88593,0.4819,0.29905,0.93407,0.0005347,0.0005347,0.0005347
49,2610.48,0.62054,0.4468,1.03007,0.97698,0.97798,0.99113,0.88234,0.50588,0.30287,0.9448,0.0005248,0.0005248,0.0005248
50,2663.33,0.62982,0.44779,1.03409,0.9768,0.97769,0.9917,0.88227,0.50627,0.30366,0.94335,0.0005149,0.0005149,0.0005149
51,2715.46,0.61198,0.43606,1.02459,0.98175,0.97496,0.99207,0.892,0.47179,0.29182,0.9259,0.000505,0.000505,0.000505
52,2768.13,0.59697,0.4313,1.01747,0.97138,0.98585,0.99313,0.88587,0.48654,0.28604,0.93573,0.0004951,0.0004951,0.0004951
53,2819.68,0.60637,0.43708,1.01627,0.98402,0.97883,0.99256,0.89777,0.46547,0.27829,0.92656,0.0004852,0.0004852,0.0004852
54,2870.76,0.60564,0.41843,1.01647,0.98003,0.9785,0.99128,0.88968,0.48007,0.29024,0.93433,0.0004753,0.0004753,0.0004753
55,2922.48,0.59979,0.4273,1.01383,0.97928,0.98277,0.99055,0.89025,0.47559,0.2825,0.92363,0.0004654,0.0004654,0.0004654
56,2974.42,0.59474,0.41608,1.0089,0.97885,0.98023,0.99197,0.88802,0.4849,0.28638,0.93547,0.0004555,0.0004555,0.0004555
57,3027.3,0.59208,0.41698,1.01351,0.97677,0.97984,0.9922,0.89327,0.47243,0.27398,0.92452,0.0004456,0.0004456,0.0004456
58,3081.15,0.58701,0.41914,1.0071,0.97797,0.981,0.9921,0.89673,0.45298,0.27097,0.91518,0.0004357,0.0004357,0.0004357
